name,description,step_number,category,priority,trigger_or_timing,owner_role,status,rem_action,mecp_category_hint,completion_evidence,notes
Review evacuation triggers,"Review fire, smoke, flood, road, or official-warning triggers that require leaving.",1,decision,high,watch/warning conditions,household coordinator,not_started,Event / Household Plan,P - Position / Movement,Triggers reviewed,"Act early if mobility, pets, or dependents need extra time."
Pack go-bag,"Load go-bags with water, food, medications, lights, power, clothing, cash, and documents.",2,supplies,high,warning period,supplies lead,not_started,Checklist update,S - Supplies,Go-bags loaded,Keep bags near exit.
Confirm route,"Check primary and backup routes for smoke, flooding, road closures, bridges, or checkpoints.",3,route,high,before departure,transport lead,not_started,Map / Event,T - Terrain / Infrastructure,Best route selected,Share road blocked/bridge out events if useful.
Fuel vehicle,Top off fuel or EV charge and load spare transport supplies where safe.,4,transport,high,warning period,transport lead,not_started,Checklist update,S - Supplies,Vehicle fuel/charge ready,Do not wait until evacuation order if fuel access may close.
Gather documents,"Collect IDs, insurance, property records, prescriptions, medical notes, and pet records.",5,documents,high,warning period,household coordinator,not_started,Checklist update,S - Supplies,Documents loaded,Keep waterproof pouch for flood risk.
Pack masks and protection,"Pack smoke masks, eye protection, gloves, boots, waterproof gear, or other hazard-specific protection.",6,protective gear,medium,warning period,safety lead,not_started,Checklist update,W - Weather / Environment,Protective gear packed,Match gear to wildfire smoke or floodwater risk.
Prepare pets and dependents,"Prepare carriers, leashes, medications, special equipment, comfort items, and extra time for loading.",7,care,high,warning period,care lead,not_started,Checklist update,M - Medical,Dependents and pets ready,Pre-load nonessential items early.
Neighbor check,"Check selected neighbors, elderly contacts, or mutual-aid circle members if safe and planned.",8,welfare,medium,before departure if safe,care lead,not_started,Event / Needs request,C - Coordination,Neighbor status updated,Do not delay personal evacuation unnecessarily.
Share hazard observations,"Send concise updates for blocked roads, floodwater, fire, smoke, unsafe areas, or checkpoints.",9,situational awareness,medium,when observed,communications lead,not_started,Event / Map hazard,T - Terrain / Infrastructure,Hazard event sent,Include time and location if safe.
Depart early,"Leave before routes become unsafe, especially with dependents, pets, or limited mobility.",10,movement,high,evacuation trigger met,household coordinator,not_started,Event,P - Position / Movement,Departure status sent,Use route/destination privacy settings.
Arrival and status update,"Confirm arrival, safety, remaining needs, and whether any group members are missing or delayed.",11,recovery,high,upon arrival,communications lead,not_started,Action Message / Event,R - Response,Arrival status sent,Close open requests or add new needs.
