name,description,person_or_pet,need_type,priority,responsible_person,backup_person,privacy_level,kit_item,rem_feature_hint,notes
Child reunification instructions,Record where children should go and who may pick them up if separated.,child,reunification,high,primary caregiver,backup caregiver,household only,printed contact card,Household Plan / Checklists,Include school/daycare contacts and offline instructions.
Elder check-in schedule,Define how often elderly relatives or neighbors should be checked during an event.,elder,welfare check,high,care lead,trusted neighbor,limited trusted circle,contact sheet,Events / Checklists,Include no-response escalation.
Mobility assistance plan,"Document mobility aids, ramps, transport needs, and lifting/transfer limitations.",person,mobility,high,care lead,transport lead,household only,mobility aid / charger,Action Messages / Checklists,Share only need-to-know transport requirements.
Medication list,"Track critical medication names, dosage schedule, refill dates, and packout location.",person or pet,medical,high,medical lead,backup caregiver,household only,medication bag,Checklists,Keep sensitive details private; use generic status outside household.
Medical device power plan,"Record powered medical devices, battery runtime, chargers, adapters, and backup power priority.",person,medical power,high,power lead,medical lead,household only,charger / battery / inverter,Action Messages / Checklists,Tie this to the power readiness score.
Allergy and condition notes,"Capture allergy, condition, or dietary notes needed during sheltering or evacuation.",person or pet,medical/dietary,medium,medical lead,backup caregiver,household only,medical note card,Household Plan,Use plain language and avoid over-sharing.
Pet carrier and leash,"List carrier, leash, crate, muzzle, harness, and containment requirements.",pet,evacuation,medium,pet lead,backup caregiver,household,carrier / leash,Checklists,Keep carriers accessible during warning periods.
Pet food and water,"Track pet food, water, bowls, medication, litter, waste bags, and comfort items.",pet,supplies,medium,pet lead,supplies lead,household,pet go-bag,Checklists / Action Messages,Include at least several days of supplies.
Service animal plan,"Document service animal needs, access documents, relief schedule, food, and medical requirements.",service animal,access / medical,high,handler,backup caregiver,household only,service animal documents,Household Plan,Include evacuation destination compatibility.
Comfort and behavioral support,"Plan comfort items, routines, noise sensitivity support, or calming strategies for dependents or pets.",person or pet,behavioral support,medium,care lead,backup caregiver,household only,comfort kit,Checklists,"Useful for children, neurodivergent people, anxious pets, and stressful shelter environments."
Emergency document packet,"Collect copies of IDs, medical cards, vaccination records, guardianship documents, and pet records.",person or pet,documents,high,household coordinator,backup caregiver,household only,document pouch,Checklists,Store paper and encrypted digital copies.
Transportation assistance,"Identify who needs help leaving and what vehicle, seat, crate, ramp, or equipment is required.",person or pet,transportation,high,transport lead,trusted contact,limited trusted circle,transport gear,Events / Checklists,Can become a needs/offers request if transport fails.
Backup caregiver,Name a second person who can care for each dependent or pet if the primary caregiver is unavailable.,person or pet,care continuity,high,household coordinator,named backup,household only,contact card,Household Plan / Peers,Verify that the backup has instructions and access.
Location sharing consent,Define who may see location or status details for each dependent during emergency or routine conditions.,person,privacy,high,household coordinator,privacy lead,household only,consent notes,Settings / Telemetry,Use emergency-only sharing for sensitive cases.
