name,description,step_number,category,priority,trigger_or_timing,owner_role,status,rem_action,mecp_category_hint,completion_evidence,notes
Confirm shelter decision,Confirm that sheltering is safer than evacuation based on conditions and plan triggers.,1,decision,high,hazard begins,household coordinator,not_started,Event,P - Position / Movement,Shelter decision communicated,Update if conditions shift toward evacuation.
Account for household,"Confirm all people and pets are present, safe, or accounted for elsewhere.",2,accountability,high,immediately,care lead,not_started,Action Message / Chat,C - Coordination,Every person and pet accounted for,Escalate missing or injured persons.
Move to shelter area,"Move essential supplies, lights, communications gear, pets, and medical items to the shelter area.",3,location,high,first hour,safety lead,not_started,Checklist update,T - Terrain / Infrastructure,Shelter area set up,Choose safest accessible room.
Inventory water,Check available water and estimate remaining duration.,4,water,high,first check-in and daily,supplies lead,not_started,Action Message / Checklist,S - Supplies,Water status recorded,Share need only if supply is inadequate.
Inventory food,"Check food, dietary needs, cooking options, and no-cook backup.",5,food,high,first check-in and daily,supplies lead,not_started,Checklist update,S - Supplies,Food status recorded,Plan meals to conserve fuel and water.
Set sanitation,"Prepare toilet, waste, hygiene, cleaning, diaper, and handwashing arrangements.",6,sanitation,high,first hours,supplies lead,not_started,Checklist update,S - Supplies,Sanitation area and supplies ready,Prevent contamination of shelter area.
Safety and security check,"Check locks, alarms, smoke/CO detectors, windows, heat/cold exposure, and safe movement.",7,safety,medium,each check-in window,safety lead,not_started,Action Message / Event if issue,X - Threat / Security,Safety status recorded,Use softer “safety” wording for general users.
Communications schedule,Set check-in times to preserve battery and avoid missed status updates.,8,communications,high,first hour,communications lead,not_started,Chat / Events,C - Coordination,Schedule shared with trusted circle,Include escalation if no response.
Medical and dependent check,"Check medications, symptoms, comfort, mobility, medical devices, and dependent needs.",9,medical,high,each check-in window,medical lead,not_started,Action Message / Checklist,M - Medical,Medical status recorded,Escalate red status immediately.
Power conservation,"Limit device use, rotate chargers, and reserve power for communications and medical needs.",10,power,high,ongoing,power lead,not_started,Action Message / Checklist,S - Supplies,Power status logged,Update power readiness if degraded.
Periodic status update,"Send a short update at the agreed cadence with water, power, medical, mobility, and communications status.",11,communications,high,scheduled check-in,communications lead,not_started,Action Message / Event,C - Coordination,Status sent and response/ACK tracked,Keep details minimal outside household.
End shelter and recover,"When safe, send all-clear, check damage, restore supplies, recharge devices, and update readiness score.",12,recovery,medium,after hazard passes,household coordinator,not_started,Event / Checklist,R - Response,All-clear sent and recovery tasks started,Capture lessons learned for next drill.
