name,description,step_number,category,priority,trigger_or_timing,owner_role,status,rem_action,mecp_category_hint,completion_evidence,notes
Confirm outage and safety,"Confirm the power loss, check for immediate hazards, and avoid downed lines or unsafe equipment.",1,safety,high,outage begins,safety lead,not_started,Event if hazard exists,T - Terrain / Infrastructure,Hazards checked and reported if present,Do not approach downed lines.
Charge devices,"Charge phones, REM devices, radios, lamps, and battery banks while any power source is available.",2,power,high,immediately,power lead,not_started,Checklist update,S - Supplies,Critical devices at target charge,Prioritize medical and communications devices.
Check battery banks,"Confirm capacity, cables, adapters, solar input, and assignment of each battery bank.",3,power,high,first hour,power lead,not_started,Checklist update,S - Supplies,Battery inventory verified,Label which battery supports which device.
Start generator safely,"Set up generator only outdoors and away from windows, doors, vents, and occupied areas.",4,power safety,high,when generator is needed,power lead,not_started,Checklist update / Event if unsafe conditions,S - Supplies,Generator operating safely or not used,Watch carbon monoxide risk.
Reduce loads,"Turn off nonessential loads to preserve battery, fuel, inverter capacity, and device runtime.",5,power,medium,first hour,power lead,not_started,Action Message update,S - Supplies,Critical loads identified and noncritical loads reduced,Keep refrigerator/freezer closed where applicable.
Set lighting plan,Place safe lights in key areas and avoid open flames when safer battery lighting is available.,6,safety,medium,before dark,safety lead,not_started,Checklist update,S - Supplies,Lighting deployed,Keep one light near exits and medical supplies.
Send household status,"Send a concise status update to trusted peers with power, communications, medical, and supply state.",7,communications,high,first check-in window,communications lead,not_started,Action Message / Event,C - Coordination,Status message sent and response/ACK tracked,Avoid sharing sensitive inventory details broadly.
Check vulnerable neighbors,Check selected neighbors or dependents if safe to do so and previously agreed.,8,welfare,medium,after household stable,care lead,not_started,Event / Needs request if help needed,C - Coordination,Neighbor status known or request escalated,Do not put household at risk.
Monitor CO and heat/cold risks,"Monitor carbon monoxide, temperature, ventilation, and appliance safety.",9,safety,high,ongoing,safety lead,not_started,Event if hazard or medical issue,W - Weather / Environment,Checks performed at cadence,Escalate if medical or environmental status degrades.
Rotate charging sources,"Rotate devices through available battery, vehicle, solar, or generator sources.",10,power,medium,every scheduled charging window,power lead,not_started,Checklist update,S - Supplies,Charge rotation logged,Preserve at least one reserve battery for SOS/comms.
Report restoration or all clear,"When power returns or the outage response ends, send a clear update and reset equipment.",11,recovery,medium,after restoration,communications lead,not_started,Event / Action Message,R - Response,All-clear message sent and gear reset,Recharge all batteries after event.
