name,description,category,priority,owner_role,status,trigger_or_timing,share_scope,rem_feature_hint,mecp_category_hint,notes
Evacuation decision triggers,Define the conditions that cause the household or group to leave instead of sheltering in place.,decision,high,household coordinator,draft,before incident,household,Household Plan / Events,P - Position / Movement,"Examples: official order, visible fire/flood, unsafe home, prolonged outage."
Primary evacuation route,"Document the first-choice route, including key roads, choke points, and known hazards.",route,high,transport lead,draft,pre-plan and update during incident,household + trusted circle,Map / Events,T - Terrain / Infrastructure,Include offline map references and route notes.
Secondary evacuation route,"Document a backup route if the primary road, bridge, or exit is blocked.",route,high,transport lead,draft,pre-plan and update during incident,household + trusted circle,Map / Events,T - Terrain / Infrastructure,Use MECP road blocked or bridge out events if conditions change.
Destination,"Define where the household will go, such as a relative, hotel, shelter, or out-of-area contact.",destination,high,household coordinator,draft,before incident,household,Household Plan,C - Coordination,"Include address, contact name, fallback destination, and arrival check-in instructions."
Primary rally point,Choose the first meeting point if household members are separated.,rally point,high,household coordinator,draft,before incident,household + selected trusted contacts,Map / Household Plan,C - Coordination,Make it easy to reach without internet.
Backup rally point,Choose a second meeting point if the primary rally point is unsafe or unreachable.,rally point,medium,household coordinator,draft,before incident,household + selected trusted contacts,Map / Household Plan,C - Coordination,Use a location in a different direction from the primary point if possible.
Out-of-area contact,Identify a person outside the affected area who can relay status if local communications fail.,contact,high,communications lead,draft,before incident,household,Household Plan / Peers,C - Coordination,"Include phone, address, call sign, and non-mesh contact method."
Go-bag staging,Define where grab bags are stored and who is responsible for taking them.,supplies,high,supplies lead,draft,before incident / at departure,household,Checklists,S - Supplies,"Include individual bags, pet bag, medical bag, documents, and charging kit."
Document grab list,List the critical documents to take during evacuation.,documents,high,household coordinator,draft,at departure,household,Checklists,S - Supplies,"IDs, insurance, prescriptions, contacts, property records, cash, and printed plan."
Medication and medical devices,"Plan how medications, mobility aids, and powered medical devices leave with the household.",medical,high,medical lead,draft,at departure,household,Checklists / Action Messages,M - Medical,"Include chargers, spare batteries, prescriptions, and backup caregiver instructions."
Pet evacuation supplies,"Define carriers, leashes, food, water, vaccination records, and pet-friendly destination needs.",pets,medium,pet lead,draft,at departure,household,Checklists,S - Supplies,Include photos and microchip information.
Vehicle fuel and charging,"Set minimum fuel, EV charge, bike readiness, or alternate transport requirements before departure.",transport,high,transport lead,draft,before incident / at departure,household,Checklists / Action Messages,S - Supplies,Add trigger such as keep vehicle above half tank during warning periods.
Neighbor notification,Decide which neighbors or trusted contacts should be notified when leaving.,coordination,medium,communications lead,draft,at departure,trusted circle,Chat / Events,C - Coordination,Use low-detail updates if privacy is a concern.
Departure check-in,"Send a short movement update before leaving, including destination and route only to approved recipients.",communications,high,communications lead,draft,at departure,household + selected trusted contacts,Events / MECP,P - Position / Movement,"Example: evacuating, en route, ETA, destination alias."
Arrival confirmation,"Confirm arrival and update safety, medical, mobility, power, and communications status.",communications,high,communications lead,draft,upon arrival,household + selected trusted contacts,Action Messages / Events,R - Response,Include any unmet needs after arrival.
