name,description,step_number,category,priority,trigger_or_timing,owner_role,status,rem_action,mecp_category_hint,completion_evidence,notes
Monitor weather and alerts,"Watch trusted forecasts and local alerts, then share only relevant timing with the group.",1,awareness,high,storm watch/warning,communications lead,not_started,Event,W - Weather / Environment,Storm timing shared,"REM should complement, not replace, official alerts."
Secure outdoor items,"Bring in or tie down furniture, tools, bins, branches, and other items that may become hazards.",2,property safety,high,before storm impact,safety lead,not_started,Checklist update,T - Terrain / Infrastructure,Outdoor hazards reduced,Do this before winds or lightning make it unsafe.
Charge devices,"Charge phones, REM devices, radios, lights, laptops, and battery banks.",3,power,high,before storm impact,power lead,not_started,Checklist update,S - Supplies,Critical devices charged,Prepare charging rotation plan.
Check battery banks,"Verify battery banks, cables, adapters, and solar/generator backup if used.",4,power,high,before storm impact,power lead,not_started,Checklist update,S - Supplies,Backup power verified,Label spare cables.
Check sump pump,"Confirm sump pump, backup pump, battery, discharge path, and water alarms are ready.",5,flood prevention,high,before heavy rain,safety lead,not_started,Checklist update,T - Terrain / Infrastructure,Pump and backup tested,Adapt for local flood risk.
Clear drains and gutters,Clear leaves and debris where safe to reduce water intrusion risk.,6,flood prevention,medium,before heavy rain,safety lead,not_started,Checklist update,T - Terrain / Infrastructure,Drainage improved,Do not climb ladders in unsafe conditions.
Prepare safe room,"Move water, food, first aid, lights, blankets, chargers, and radio/REM gear into safe area.",7,shelter,high,before storm impact,household coordinator,not_started,Checklist update,S - Supplies,Safe room stocked,Include pet/dependent supplies.
Move vehicles,"Move vehicles away from trees, low areas, or flood-prone locations if safe.",8,transport,medium,before storm impact,transport lead,not_started,Checklist update,T - Terrain / Infrastructure,Vehicles positioned safely,Maintain fuel/charge for evacuation.
Notify readiness,Send readiness status to household or trusted circle when prep is complete or if help is needed.,9,communications,medium,before storm impact,communications lead,not_started,Action Message / Event,C - Coordination,Readiness status sent,Use needs/offers for gaps.
Monitor during storm,"Track leaks, flooding, injuries, power loss, and communications status during scheduled check-ins.",10,monitoring,high,during storm,household coordinator,not_started,Action Message / Event,W - Weather / Environment,Status updated at cadence,Stay away from windows and floodwater.
Post-storm hazard check,"Check for downed lines, structural damage, gas smell, flooding, blocked roads, and neighbor needs.",11,recovery,high,after storm passes,safety lead,not_started,Event / Map hazard,T - Terrain / Infrastructure,Hazards identified and reported,Do not enter unsafe structures.
