name,description,category,priority,owner_role,status,trigger_or_timing,share_scope,rem_feature_hint,mecp_category_hint,notes
Shelter decision triggers,Define when the household stays put instead of evacuating.,decision,high,household coordinator,draft,before incident,household,Household Plan,P - Position / Movement,"Examples: unsafe roads, official shelter guidance, short outage, hazardous outdoor conditions."
Shelter area,"Choose the safest interior area or room for severe weather, unrest, smoke, or other hazards.",location,high,safety lead,draft,before incident,household,Map / Household Plan,T - Terrain / Infrastructure,"Consider windows, flooding risk, temperature, ventilation, and accessibility."
Water reserve timeline,"Track drinking, cooking, sanitation, and pet water by expected duration.",water,high,supplies lead,draft,daily during shelter period,household,Action Messages / Checklists,S - Supplies,Update remaining days of water each check-in period.
Food reserve timeline,"Track shelf-stable food, special diets, infant needs, and cooking requirements by expected duration.",food,high,supplies lead,draft,daily during shelter period,household,Checklists,S - Supplies,Include no-cook fallback meals.
Sanitation plan,"Prepare toilet, waste, handwashing, hygiene, diapers, and cleaning supplies.",sanitation,high,supplies lead,draft,before and during shelter period,household,Checklists,S - Supplies,"Include sealed trash, gloves, wipes, and backup toilet options."
Power conservation plan,"Decide what stays powered, when to charge devices, and how to rotate batteries or solar.",power,high,power lead,draft,during outage,household,Action Messages / Checklists,S - Supplies,"Prioritize medical devices, phones, radios, lights, hub, and battery banks."
Generator and fuel safety,"Document safe generator placement, carbon monoxide precautions, fuel handling, and refueling rules.",power safety,high,power lead,draft,before generator use,household,Checklists,S - Supplies,Never operate generator indoors or near open windows.
Medical monitoring,"Set a cadence for medications, medical device batteries, mobility needs, and health checks.",medical,high,medical lead,draft,each check-in period,household,Action Messages / Checklists,M - Medical,Share only necessary information with wider groups.
Security and safety watch,Define basic household safety routines without creating panic or exposing sensitive details.,safety,medium,safety lead,draft,during shelter period,household,Action Messages,X - Threat / Security,"Include locks, lighting, smoke/CO alarms, and safe movement around the home."
Communications schedule,Choose when the household sends routine check-ins and when to escalate if no one responds.,communications,high,communications lead,draft,every 4-12 hours,household + trusted circle,Chat / Events / Action Messages,C - Coordination,Include battery-saving windows and quiet hours.
Air quality and ventilation,"Prepare filters, masks, sealed room options, and ventilation rules for smoke, dust, heat, or cold.",environment,medium,safety lead,draft,as conditions change,household,Events / Checklists,W - Weather / Environment,Include HVAC/filter settings and backup masks.
Dependent and pet care cadence,"Set routine checks for children, elderly household members, people with special needs, and pets.",care,high,care lead,draft,each check-in period,household,Checklists / Action Messages,M - Medical,"Include feeding, meds, mobility, bathroom, comfort, and sleep needs."
Supply status update,"Send a concise status update when water, food, power, medical, mobility, or communications degrade.",communications,high,communications lead,draft,when status changes,trusted circle,Action Messages / Events,S - Supplies,Use yellow/red Action Message states when appropriate.
All-clear criteria,Define who can declare shelter-in-place complete and what must be checked before normal activity resumes.,recovery,medium,household coordinator,draft,after hazard passes,household + trusted circle,Events / Action Messages,R - Response,Include home damage check and safe route check.
