name,description,step_number,category,priority,trigger_or_timing,owner_role,status,rem_action,mecp_category_hint,completion_evidence,notes
Activate evacuation plan,Decide to evacuate based on pre-agreed triggers or official guidance.,1,decision,high,evacuation trigger met,household coordinator,not_started,Event,P - Position / Movement,Decision made and household notified,Use consistent trigger language.
Grab bags,Collect go-bags for each person and dependent.,2,supplies,high,before departure,supplies lead,not_started,Checklist update,S - Supplies,All grab bags loaded,Include chargers and paper plan.
Documents,"Collect IDs, insurance, medical documents, cash, contacts, and property records.",3,documents,high,before departure,household coordinator,not_started,Checklist update,S - Supplies,Document packet loaded,Use pre-packed pouch if available.
Pets and dependents,"Load carriers, leashes, medication, comfort items, special equipment, and dependent supplies.",4,care,high,before departure,care lead,not_started,Checklist update,M - Medical,All dependents and pets accounted for,Confirm backup caregiver if separated.
Medication,"Pack medications, prescriptions, medical devices, chargers, and health notes.",5,medical,high,before departure,medical lead,not_started,Checklist update / Action Message,M - Medical,Medical packout complete,Prioritize critical medications first.
Route,Choose primary or backup route based on current hazards and shared road reports.,6,route,high,before departure,transport lead,not_started,Map / Event,T - Terrain / Infrastructure,Route chosen and hazards noted,Avoid publishing sensitive route details to broad groups.
Destination,"Confirm destination, contact, and ETA before departure.",7,destination,high,before departure,household coordinator,not_started,Chat / Event,C - Coordination,Destination confirmed,Use destination alias if privacy is needed.
Contact check-in,Send departure status to trusted circle with route/destination details only as appropriate.,8,communications,high,at departure,communications lead,not_started,Event / Action Message,P - Position / Movement,Departure message sent and response/ACK tracked,Include who is with you and who still needs help.
Secure home,Shut off or secure items according to the hazard and time available.,9,safety,medium,before departure if safe,safety lead,not_started,Checklist update,T - Terrain / Infrastructure,Home secured as much as safely possible,Do not delay departure for noncritical tasks.
En route updates,"Send brief updates only when stopped or safe, especially for route changes, hazards, or delays.",10,communications,medium,during evacuation,communications lead,not_started,Event,P - Position / Movement,Route changes communicated,Never text while driving.
Arrival confirmation,"Confirm arrival, safety, supply status, medical status, and remaining needs.",11,recovery,high,upon arrival,communications lead,not_started,Action Message / Event,R - Response,Arrival confirmed and dashboard status updated,Close or update open needs.
