name,description,step_number,category,priority,trigger_or_timing,owner_role,status,rem_action,mecp_category_hint,completion_evidence,notes
Start node,Start the REM/Reticulum node and confirm the app is not in Not Ready state.,1,setup,high,drill start,communications lead,not_started,Settings / Node controls,D - Drill / Test,Node started and Ready confirmed,Record troubleshooting steps if not Ready.
Confirm call sign,Verify the call sign is correct and recognizable to the trusted group.,2,identity,medium,drill start,each user,not_started,Settings,D - Drill / Test,Call sign confirmed,Use names the group understands under stress.
Announce,Send an announce so trusted peers can discover or refresh your presence.,3,discovery,high,drill start,each user,not_started,Announce,D - Drill / Test,Announce sent and peer sees device,Confirm both sides save/select if needed.
Send chat,Send a short direct chat message to a selected peer.,4,messaging,high,after announce,each user,not_started,Chat,D - Drill / Test,Chat received and reply returned,Use a simple phrase like “comms drill message.”
Send MECP test,Send a drill/test Event using MECP and verify peers understand the plain-language meaning.,5,events,high,after chat test,communications lead,not_started,Events / MECP,D - Drill / Test,MECP drill event received,"Use Drill/Test category, not real emergency category."
Confirm ACK or response,"Confirm each participant saw the message, responded, or otherwise acknowledged receipt.",6,delivery confirmation,high,after test message,communications lead,not_started,Chat / Event response,R - Response,All expected responses logged,Track who did not respond.
Telemetry test,"If enabled, confirm the map shows fresh location or that telemetry is intentionally disabled.",7,map/telemetry,medium,during drill,each user,not_started,Map / Settings,P - Position / Movement,Fresh position seen or privacy choice confirmed,Respect emergency-only or no-location settings.
Checklist update test,Create or update a checklist item and confirm the update is shared with intended peers.,8,checklists,medium,during drill,checklist owner,not_started,Checklists,D - Drill / Test,Checklist update received by peer,Useful to test operational task sharing.
Safe SOS test,Test SOS only in a clearly marked safe drill mode or agreed test procedure.,9,emergency test,high,scheduled drill only,communications lead,not_started,SOS test,B - Beacon / D - Drill,SOS test received and cancelled safely,Never trigger real emergency confusion.
Peer reciprocity check,Verify that both sides have saved/selected each other so sharing works both directions.,10,trust setup,high,during drill,communications lead,not_started,Peers,C - Coordination,Two-way sharing confirmed,Fix one-way peer selection issues.
Record drill result,"Record participants, success, failures, message delays, stale positions, and action items.",11,after action,medium,drill end,communications lead,not_started,Checklist / Event,D - Drill / Test,Drill summary saved,Use results to update readiness score.
Fix failures,"Assign follow-up actions for failed peers, missing batteries, bad settings, or unclear procedures.",12,improvement,high,after drill,household coordinator,not_started,Checklist,C - Coordination,Follow-up tasks assigned,Retest after fixes.
